English Word,Search Keywords,Image File
(I/you/we/they) can,arm muscle,(Iyouwethey)_can.jpg
(sanitary) pad,sanitary pad,(sanitary)_pad.jpg
Caution!,caution sign,Caution!.jpg
Cheers!,toasting glasses,Cheers!.jpg
Friday,Friday calendar,Friday.jpg
Goodbye! / Bye!,waving hand,Goodbye!__Bye!.jpg
Hello!,waving hand,Hello!.jpg
Hi!,speech bubble hi,Hi!.jpg
How long does it take?,stopwatch,How_long_does_it_take.jpg
How much is it?,price tag,How_much_is_it.jpg
How …?,question mark,How_….jpg
I need ...,open hands,I_need_.jpg
I would like ...,heart thought bubble,I_would_like_.jpg
Is there …?,question mark box,Is_there_….jpg
Monday,Monday calendar,Monday.jpg
No problem!,thumbs up,No_problem!.jpg
Please!,praying hands,Please!.jpg
Saturday,Saturday calendar,Saturday.jpg
Sorry!,sorry sign,
Stop!,stop sign,Stop!.jpg
Sunday,Sunday calendar,Sunday.jpg
Thank you!,thank you note,Thank_you!.jpg
Thursday,Thursday calendar,Thursday.jpg
Tuesday,Tuesday calendar,Tuesday.jpg
Wednesday,Wednesday calendar,Wednesday.jpg
What is …?,question mark,What_is_….jpg
Where is …?,map pin,Where_is_….jpg
address,envelope address,address.jpg
adult,adult people,adult.jpg
apartment,apartment building,apartment.jpg
arm,arm,arm.jpg
at night,night sky,at_night.jpg
back,human back,back.jpg
bad,thumbs down,bad.jpg
bag,shopping bag,bag.jpg
bank card,credit card,bank_card.jpg
bar,bar counter,bar.jpg
beach,beach,beach.jpg
beautiful,flower,beautiful.jpg
beer,beer glass,beer.jpg
bicycle,bicycle,bicycle.jpg
big,elephant,big.jpg
bill,receipt,bill.jpg
black,black color,black.jpg
blue,blue color,blue.jpg
bright,sun,bright.jpg
bus,bus,bus.jpg
bus station,bus stop,bus_station.jpg
café,cafe exterior,café.jpg
car,car,car.jpg
cash,cash money,cash.jpg
cheap,discount tag,cheap.jpg
cheese,cheese,cheese.jpg
child,child,child.jpg
coffee,coffee cup,coffee.jpg
color,color wheel,color.jpg
colorful,balloons,colorful.jpg
computer,laptop,computer.jpg
condom,condom,condom.jpg
country,globe,country.jpg
dark,night,dark.jpg
date of birth,birthday cake,date_of_birth.jpg
day,sunny sky,day.jpg
delayed,delayed stamp,delayed.jpg
dessert,dessert,dessert.jpg
direction,compass,direction.jpg
doctor,doctor,doctor.jpg
earlier,alarm clock,earlier.jpg
eight,number 8,eight.jpg
entrance,open door,entrance.jpg
exit,exit sign,exit.jpg
expensive,diamond,expensive.jpg
fifty,number 50,fifty.jpg
first name,name tag,first_name.jpg
fish,fish,fish.jpg
five,number 5,five.jpg
food,meal,food.jpg
foot,foot,foot.jpg
forest,forest,forest.jpg
four,number 4,four.jpg
fruits,fruit basket,fruits.jpg
gluten-free,gluten free icon,gluten-free.jpg
good,thumbs up,good.jpg
green,green color,green.jpg
hand,hand,hand.jpg
head,head profile,head.jpg
help,help sign,help.jpg
hospital,hospital building,hospital.jpg
hotel,hotel building,hotel.jpg
house,house,house.jpg
hundred,number 100,hundred.jpg
important,exclamation mark,important.jpg
in the afternoon,afternoon sun,in_the_afternoon.jpg
in the evening,sunset,in_the_evening.jpg
in the morning,sunrise,in_the_morning.jpg
internet,internet icon,internet.jpg
lake,lake,lake.jpg
last name,signature,last_name.jpg
later,clock,later.jpg
left,left arrow,left.jpg
leg,legs,leg.jpg
main course,steak dinner,main_course.jpg
man,man,man.jpg
meat,meat,meat.jpg
medicine,pills,medicine.jpg
menu,menu,menu.jpg
milk,milk glass,
month,calendar month,month.jpg
mountain,mountain,mountain.jpg
museum,museum,museum.jpg
new,new tag,new.jpg
nine,number 9,nine.jpg
no,red X,no.jpg
non-alcoholic,juice,non-alcoholic.jpg
nuts,nuts,nuts.jpg
old,old person,old.jpg
on foot,walking,on_foot.jpg
on time,clock,on_time.jpg
one,number 1,one.jpg
pain,headache,pain.jpg
painkiller,pills,painkiller.jpg
park,park,park.jpg
password,password lock,password.jpg
pharmacy,pharmacy cross,pharmacy.jpg
place of birth,baby hospital,place_of_birth.jpg
police,police officer,police.jpg
"profession, job",,"profession,_job.jpg"
rain,rain,rain.jpg
red,red color,red.jpg
restaurant,restaurant,restaurant.jpg
right,right arrow,right.jpg
river,river,river.jpg
salad,salad,salad.jpg
sea,sea,sea.jpg
separate,split path,separate.jpg
seven,number 7,seven.jpg
six,number 6,six.jpg
small,ant,small.jpg
snow,snow,
socket,electrical socket,socket.jpg
square,square shape,square.jpg
starter,appetizer,starter.jpg
stomach,stomach,stomach.jpg
stop,stop sign,stop.jpg
straight ahead,straight arrow,straight_ahead.jpg
street,street,street.jpg
sun,sun,sun.jpg
supermarket,supermarket,supermarket.jpg
tampon,tampon,tampon.jpg
"taxi, cab",,"taxi,_cab.jpg"
tea,tea cup,tea.jpg
ten,number 10,ten.jpg
thousand,number 1000,thousand.jpg
three,number 3,three.jpg
thunderstorm,lightning,thunderstorm.jpg
time,clock,time.jpg
tired,yawning,tired.jpg
to ask,raising hand,to_ask.jpg
to be,person standing,to_be.jpg
to buy,shopping cart,to_buy.jpg
to call,calling on phone,to_call.jpg
to drink,drinking water,to_drink.jpg
to eat,eating,to_eat.jpg
to give,giving gift,to_give.jpg
to go,walking,to_go.jpg
to have,holding object,to_have.jpg
to know,brain,to_know.jpg
to learn,studying,to_learn.jpg
to make,crafting,to_make.jpg
to need,open hands,to_need.jpg
to pay,paying cash,to_pay.jpg
to recharge,charging battery,to_recharge.jpg
to say,talking,to_say.jpg
to search,magnifying glass,to_search.jpg
to see,eye,to_see.jpg
to stay,house icon,to_stay.jpg
to take,grabbing hand,to_take.jpg
to visit,tourist,to_visit.jpg
to want,reaching hand,to_want.jpg
to work,working at desk,to_work.jpg
to write,writing,to_write.jpg
together,holding hands,together.jpg
toothbrush,toothbrush,toothbrush.jpg
train,train,train.jpg
train station,train station,train_station.jpg
tram,tram,tram.jpg
twenty,number 20,twenty.jpg
two,number 2,two.jpg
vegan,vegan symbol,vegan.jpg
vegetables,vegetables,vegetables.jpg
vegetarian,vegetables,vegetarian.jpg
water,water glass,water.jpg
way,path,way.jpg
weather,weather icons,weather.jpg
week,calendar week,week.jpg
white,white color,white.jpg
wine,wine glass,
woman,woman,woman.jpg
year,calendar year,year.jpg
yellow,yellow color,yellow.jpg
yes,green check,yes.jpg
young,child,young.jpg
