id,word
3500,gesagt
8490,vampir
1283,bier
2508,ergebnisse
2216,einheitliches
7430,siedler
4823,koalition
1821,denken
9288,wirkungsgrad
7894,stätten
6266,optimale
3315,gegner
2107,eastwood
5682,mexiko
5015,kritiker
591,aus
3105,friedliche
5413,länderinformationen
7412,sicherheit
2149,eigener
3546,gesetze
7248,schwache
9788,überwinden
9722,öffnung
1477,buddhismus
9666,v
5586,maßnahme
1950,diskussion
4713,kein
5174,laufe
8049,tendenz
9435,zeitlich
3586,gesundheitswesen
7730,starten
8669,verlieren
3828,guild
4036,hervor
1640,christus
8436,unterstützung
3383,gemeinde
6561,posten
7748,statue
3035,frac
6539,populär
3623,geworden
1406,brand
7861,studierte
466,area
7687,stadtbezirk
311,angelegenheiten
6438,ph
9073,wasserkraft
1420,bravo
1899,dichten
2185,einführung
9034,wahren
5942,nachlass
4219,höheres
6874,reinhold
7015,router
919,begründet
6986,romane
133,airways
4701,katholische
8022,techniken
4054,heutigen
5722,miniatur|die
1258,bezeichnet
3140,futurama
955,beispiel
317,angels
5119,lande
7404,shakespeares
7675,staatspräsidenten
8451,unwahrscheinlich
1190,betonung
6910,ressourcen
6620,problemen
1449,british
9126,weiterer
4118,hitlers
9109,weil
2084,dvds
932,behauptung
4383,intensiv
1606,chemische
882,befreundet
6757,rand
1583,century
765,bank
2863,feld
3307,gegenteil
9777,überschritten
5175,laufen
6922,revision
1550,büro
1224,beverly
6831,regierungen
8220,truppen
2537,erhöhten
7510,solcher
4952,konzept
8447,unterworfen
1929,differenziert
7969,südafrikanischen
5704,militärische
3865,habe
8046,tempel
3112,front
6781,realen
9618,zürcher
6316,ostern
5832,motive
2769,existenz
3419,generelle
9382,wörtlich
1207,betrieb
2420,entstand
9184,werk
6854,reichskanzler
3086,freiwilligen
6653,propheten
7593,spermien
7057,römer
8732,verschwinden
5735,mio
7889,stärkere
7673,staatsoberhaupt
7028,ruhe
7465,sirius
1447,britischen
4395,internationalen
7455,singleauskopplung
8612,vergleiche
5247,leiden
6767,rathaus
4663,kardinal
2584,erlitt
5243,leichte
6006,naturwissenschaftlichen
8456,ureinwohner
596,ausbruch
1463,bräuche
1476,buddha
4540,joe
1489,bundesebene
3505,gesamten
2140,ehre
6859,reicht
3909,hansestadt
8145,todesursache
6029,nennenswerte
8516,veranstaltung
9787,überwiegende
6043,neubau
5453,mafia
253,analysis
6408,persischen
5905,möglichkeiten
1901,dichtung
7717,stanley
5694,microsoft
6792,rechtlich
9238,wiedergabe
5659,messung
5513,marcus
5194,lebenserwartung
1310,biographie
7447,simpson
7242,schulpflicht
5841,mozart
445,arbeiten
1903,dicke
2711,eröffnung
9315,wochen
8498,variieren
6132,norden
4593,jährlich
9497,zucker
7345,seither
4956,konzerte
3758,griechischer
3585,gesundheitlichen
8003,tanz
3027,forum
7846,stromberg
6320,osze
7438,siegfried
6899,rep
9685,ähnlicher
7832,strebte
1223,beutetiere
8008,tatsache
6549,portugal
7260,schwarzen
1754,das
7253,schwangerschaft
386,anspielung
4071,hilfreich
2220,einiger
9665,uhr
510,atlantik
6041,neu
7381,serbische
4698,katherine
3844,gäste
2245,einstein
8555,verbundenen
8624,verheiratet
5266,lennons
3050,frankfurt
227,amerikanische
7571,spaniens
3151,fälle
645,ausgetauscht
5941,nachkriegszeit
254,anatomie
1506,bundesstraßen
5023,kroatische
7181,schlag
4133,hoffnungen
2299,elemente
1483,bulgarische
6559,positiver
6432,pflanzen
259,and
5228,lehnte
4699,katholiken
7392,setzen
5948,nachteile
3728,grade
2569,erlangt
4450,italienischer
1107,beschränken
9135,weizen
6646,projekte
8930,vorbereitung
480,armen
923,begünstigt
6689,präsidentin
4168,hu
2269,einzige
3417,generationen
8408,unterliegen
9805,−
3470,gericht
3342,geistes
4210,höchstens
1592,charaktere
8359,ungeachtet
4733,kennzeichnung
3841,gängigen
5339,link
9505,zuge
1671,comic
2692,erwähnung
5940,nachkommen
9737,östlich
3203,ganze
6700,psychoanalyse
7738,statistik
96,acht
195,allgemeinen
7822,strategische
3825,guevara
6162,notwendigkeit
5646,menschenrechtsverletzungen
5259,leiter
3510,geschaffen
2691,erwähnten
8860,vielfaches
5779,model
9138,weißen
1308,binnen
5924,nachbarländern
2263,einzeln
8679,verlängert
7205,schmerzen
4137,hohen
9573,zuständigkeit
9682,ähnlich
5386,louis
1649,circa
4696,katharina
200,alliierten
5492,mangel
3984,heiratete
3495,gerne
7855,student
6605,prinzipien
1275,bfai
273,andré
4570,jugendliche
7543,sound
2958,floyd
5747,mit
5558,materielle
5061,kurzzeitig
5578,maximum
9216,wetter
1141,bessere
6629,produzieren
3032,fotos
4586,juristische
5702,militär
7263,schweden
9306,wissenschaftliche
2128,effektive
6215,obwohl
2745,europäer
9745,überblick
7173,schild
4835,kollegen
3106,friedrich
7978,südostasien
6107,niemand
9150,welt
2060,durchbruch
2458,erbe
9719,öffentlichrechtlichen
1542,bürger
7603,spiegel
7609,spielen
5644,menschen
4744,kfzkennzeichen
4495,java
1353,blutdruck
7648,späte
270,andrea
2807,fakten
573,auftretens
9301,wissenschaft
5457,magdeburg
5584,maße
7431,siedlung
5221,legislaturperiode
6645,projekt
2446,enzyklopädie
3370,geleitet
3969,heiligen
1514,bundys
8419,unterscheidet
7650,später
8297,umfangreicher
8377,uno
8502,vater
4396,internationaler
2834,fassen
5718,miniatur|
7403,shakespeare
8809,verwandten
5888,männer
8344,unbekannt
8542,verbrauch
8796,verursachte
9535,zunehmendem
1030,beobachtete
5569,matthias
7400,sexuelle
9157,weltkrieges
4161,hot
3991,helden
2104,e
1803,dem
5363,lloyd
4191,händen
6122,nochmals
7456,singles
1026,benötigten
7200,schlägt
7211,schnelle
741,bachs
8503,vaters
3624,gewordene
2779,experimentelle
4506,jedi
3675,gleiches
2977,flüsse
1597,charakters
5524,marken
8240,tv
9729,öl
4686,kategoriefrau
1185,beteiligten
3427,genommen
5025,krone
1330,black
4307,indonesien
3555,gesichert
2827,fand
6360,parks
1851,desselben
9772,überprüfung
6172,nur
6068,neville
601,ausdrücke
9214,weswegen
6052,neues
9105,weichen
1962,dj
3433,genutzten
9079,wdr
3389,gemeinsamer
2758,everest
9461,zentrums
8581,verfasst
6722,qualitativ
5191,lebenden
4676,kartoffel
5125,landesmeister
5262,leitlinien
917,begründen
6249,omega
1838,derek
2873,fernsehsender
1551,c
9156,weltkrieg
2118,ecke
3283,gefördert
7557,soziale
2592,ermöglichen
8112,tiefe
705,autismus
7736,stationiert
2396,entlang
715,autonomie
2000,dortmund
775,bars
6844,regisseure
3030,fotografie
2768,exil
3843,gärten
6407,perser
8951,vorgänge
5946,nacht
5830,motiv
2391,enthaltene
6363,parlamentarischen
4357,insgesamt
6365,parlamentswahlen
927,behandlung
8594,verfügbarkeit
7584,speicher
1893,diamant
6934,rhetorik
2793,extremen
1487,bundes
583,aufzunehmen
6582,premierminister
6687,präsident
6410,personal
3480,geringe
9715,öffentliche
8956,vorhandenen
7086,sagt
4371,insulin
6726,quattro
8835,verändert
9664,stunden
2457,erbaut
9366,wählte
969,bekannteste
7001,rosa
8154,tor
4732,kennzeichnen
4269,immanuel
7898,stück
4852,kommerzielle
890,befürchtete
4834,kokain
7919,sun
7064,römischkatholischen
9342,worden
1067,bernhard
3163,fühlt
9703,ästhetik
4107,hiroshima
4224,hört
371,anpassung
65,abseits
2252,eintreten
1759,dateien
2780,experten
7918,summer
5699,mild
4014,herder
4492,japanischen
1249,bewirkte
3848,göttin
9134,weitreichende
3581,gesunde
712,automobilindustrie
9169,wenig
4597,jüdische
3085,freiwillige
8973,vorliegt
6059,neuroleptika
5396,lufthansa
3737,grant
3547,gesetzen
86,abwehr
8700,vermuten
2712,es
5574,maximal
5788,modernisierung
2975,flüchtlinge
279,anfang
7633,sprache
5500,mannheim
6863,reifen
8228,tuberkulose
3723,gottfried
4712,kehrte
9621,august
3944,hauses
6657,prostata
8693,vermieden
546,aufgetreten
6575,praktiziert
8552,verbringen
5092,kündigte
5462,mahone
7583,speed
4614,kairo
7492,society
472,argumente
314,angelegten
8628,verhält
3372,geliebte
2212,einheiten
7286,schwimmen
8042,telefon
1454,bruce
7296,schätzungen
7799,stimmen
6346,palästina
2465,ereignis
3982,heiraten
7547,soweit
2959,fluch
9381,wörterbuch
8567,vereinbart
5871,mussolini
7885,ständigen
476,arm
1325,biss
5937,nachgewiesen
1978,dokumentiert
3057,franzosen
6420,persönlichkeit
4731,kennzeichen
1292,bilder
7546,souveränität
1208,betriebe
2319,empathie
8933,vorderen
6708,publikum
1805,demenz
2737,europa
9806,− °c
1798,dein
8442,untersuchungen
2284,el
8393,unterdrückung
387,anspielungen
4753,kind
5200,lebensweise
7713,standen
5067,kämpfte
9503,zug
4521,jenseits
1763,datiert
5808,montag
7097,samen
8982,vororte
3469,gerhard
7152,scheitert
7544,soundtrack
5680,mexikanische
731,außergewöhnliche
5381,lorelai
8747,verstanden
6168,nummer
9111,weimarer
3929,hauptartikel
5622,mein
6471,piercing
1383,bord
1005,bemerkungen
4803,klima
1191,betracht
3788,grundlegenden
7503,sogenanntes
3556,gesicht
5083,könnten
4010,herausgegeben
4996,kreislauf
2020,dreibein
9675,à
3491,germanische
